BHID,FROM,TO,AU,CU,DENSITY
VB4282,243.77540588,256.57540894,-,-,3.28999996
VB4283,108.23470306,174.03469849,-,-,2.91000009
VB4283,174.03469849,174.73469543,2.86999989,1.70000005,-
VB4283,174.73469543,176.73469543,2.02999997,1.29999995,-
VB4283,176.73469543,178.73469543,1.82000005,1.29999995,-
VB4283,178.73469543,180.73469543,1.25999999,1,-
VB4283,180.73469543,182.73469543,1.25999999,1,-
VB4283,182.73469543,184.73469543,0.63,0.69999999,-
VB4283,184.73469543,186.73469543,0.34999999,0.5,-
VB4283,186.73469543,188.73469543,0.63,0.69999999,-
VB4283,188.73469543,190.73469543,2.73000002,1.89999998,2.80999994
VB4283,192.73469543,194.73469543,0.12,0.40000001,2.8900001
VB4283,194.73469543,196.73469543,0.14,0.40000001,2.8900001
VB4283,196.73469543,198.73469543,0.47,0.60000002,3.1400001
VB4283,198.73469543,200.73469543,0.79000002,0.80000001,3.61999989
VB4283,200.73469543,202.73469543,0.93000001,0.89999998,3.77999997
VB4283,202.73469543,204.73469543,1.24000001,1.10000002,4.15999985
VB4283,204.73469543,206.73469543,1.22000003,1.10000002,4.15999985
VB4283,206.73469543,208.73469543,1.23000002,1.10000002,4.15999985
VB4283,208.73469543,210.73469543,0.25,0.40000001,2.8900001
VB4283,210.73469543,212.73469543,0.93000001,0.89999998,3.79999995
VB4283,212.73469543,214.43469238,0.07,-,3.28999996
VB4283,214.43469238,223.13470459,-,-,3.29999995
VB4285,143.50019836,226.80020142,-,-,2.91000009
VB4285,226.80020142,228.50019836,2.0999999,1.60000002,4.32000017
VB4285,228.50019836,230.50019836,1.82000005,1.39999998,4.25
VB4285,230.50019836,232.50019836,-,-,2.93000007
VB4285,232.50019836,234.50019836,-,-,3.01999998
VB4285,234.50019836,236.50019836,0.34999999,0.5,3.81999993
VB4285,236.50019836,236.80020142,0.28,0.40000001,3.74000001
VB4285,236.80020142,238.50019836,0.28,0.40000001,-
VB4285,238.50019836,240.50019836,0.14,-,-
VB4285,240.50019836,242.50019836,0.28,0.40000001,-
VB4285,242.50019836,244.50019836,0.14,-,-
VB4285,244.50019836,246.50019836,3.71000004,3,3.18000007
VB4285,246.50019836,248.50019836,0.56,0.69999999,3.29999995
VB4285,248.50019836,250.50019836,0.14,-,2.17000008
VB4285,250.50019836,252.50019836,0.28,0.40000001,2.9000001
VB4285,252.50019836,254.50019836,0.98000002,1,3.95000005
VB4285,254.50019836,256.50021362,0.63,0.69999999,3.30999994
VB4285,256.50021362,258.50021362,0.56,0.69999999,3.30999994
VB4285,258.50021362,260.50021362,1.96000004,1.89999998,4.53999996
VB4285,260.50021362,262.50021362,2.17000008,2.0999999,4.55999994
VB4285,262.50021362,264.50021362,0.62,0.69999999,3.30999994
VB4285,264.50021362,266.50021362,1.51999998,1.5,4.42000008
VB4285,266.50021362,268.50021362,0.17,-,2.18000007
VB4285,268.50021362,270.50021362,0.2,0.40000001,2.9000001
VB4285,270.50021362,272.50021362,0.37,0.5,2.99000001
VB4285,272.50021362,274.50021362,1.12,1.20000005,4.25
VB4285,274.50021362,276.50021362,1.07000005,1.20000005,4.25
VB4285,276.50021362,278.50021362,0.52999997,0.69999999,3.3499999
VB4285,278.50021362,280.50021362,0.81,1,3.95000005
VB4285,280.50021362,282.50021362,0,0.60000002,3.74000001
VB4285,282.50021362,284.50021362,-,-,3.29999995
VB4285,284.50021362,286.50021362,-,-,3.29999995
VB4285,286.50021362,288.00021362,-,-,3.29999995
VB4286,107.79759979,171.99760437,-,-,3.07999992
VB4286,171.99760437,174.29760742,6.57999992,3.4000001,3.3900001
VB4286,174.29760742,176.29760742,6.30000019,3.4000001,3.41000009
VB4286,176.29760742,178.29760742,1.53999996,1.10000002,-
VB4286,178.29760742,180.29760742,1.88999999,1.29999995,-
VB4286,180.29760742,182.29760742,2.66000009,1.70000005,-
VB4286,182.29760742,184.29760742,1.04999995,0.89999998,-
VB4286,184.29760742,186.29760742,0.69999999,0.69999999,-
VB4286,186.29760742,188.29760742,0.83999997,0.80000001,-
VB4286,188.29760742,190.29760742,0.49000001,0.60000002,-
VB4286,190.29760742,192.29760742,0.41999999,0.5,-
VB4286,192.29760742,194.29760742,0.28,0.5,-
VB4286,194.29760742,196.29760742,0.83999997,0.80000001,-
VB4286,196.29760742,198.29760742,1.88999999,1.5,-
VB4286,198.29760742,200.29760742,1.75,1.39999998,-
VB4286,200.29760742,202.29760742,2.94000006,2.20000005,2.94000006
VB4286,202.29760742,204.29760742,1.39999998,1.20000005,-
VB4286,204.29760742,206.29760742,2.86999989,2.29999995,2.98000002
VB4286,206.29760742,208.29760742,7.48999977,5.5999999,3.77999997
VB4286,208.29760742,210.29760742,0.33000001,0.5,2.99000001
VB4286,210.29760742,212.29760742,0.82999998,0.80000001,3.61999989
VB4286,212.29760742,214.29760742,1.38999999,1.29999995,4.32999992
VB4286,214.29760742,216.29760742,1.13,1.10000002,4.17000008
VB4286,216.29760742,218.29760742,1.46000004,1.39999998,4.36000013
VB4286,218.29760742,220.29760742,1.14999998,1.10000002,4.17000008
VB4286,220.29760742,222.29760742,1.39999998,1.39999998,4.36999989
VB4286,222.29760742,224.29760742,1.27999997,1.29999995,4.32999992
VB4286,224.29760742,226.29760742,0.83999997,0.89999998,3.81999993
VB4286,226.29760742,228.49760437,1.35000002,1.39999998,4.36999989
VB4286,228.49760437,235.89759827,-,-,3.30999994
VB4287,96.31549072,199.21549988,-,-,3.07999992
VB4287,199.21549988,199.41549683,-,-,3.07999992
VB4287,199.41549683,200.31550598,3.3599999,2.70000005,3.08999991
VB4287,200.31550598,202.31550598,1.12,1.10000002,-
VB4287,202.31550598,204.31550598,5.88000011,4.69999981,3.67000008
VB4287,204.31550598,206.31550598,4.34000015,3.5999999,3.45000005
VB4287,206.31550598,208.31550598,0.49000001,0.60000002,-
VB4287,208.31550598,210.31550598,1.82000005,1.70000005,-
VB4287,210.31550598,212.31550598,0.34999999,0.5,2.99000001
VB4287,212.31550598,214.31550598,2.17000008,2,4.55000019
VB4287,214.31550598,216.31550598,1.04999995,1.10000002,4.17000008
VB4287,216.31550598,218.31550598,1.04999995,1.10000002,4.17999983
VB4287,218.31550598,220.31550598,0.56,0.69999999,3.3499999
VB4287,220.31550598,222.31550598,0.69999999,0.80000001,3.61999989
VB4287,222.31550598,224.31550598,0.91000003,1,3.96000004
VB4287,224.31550598,226.31550598,1.82000005,1.79999995,4.51000023
VB4287,226.31550598,228.31550598,0.76999998,0.89999998,3.81999993
VB4287,228.31550598,230.31550598,0.41999999,0.60000002,3.1400001
VB4287,230.31550598,232.31550598,0.69999999,0.80000001,3.61999989
VB4287,232.31550598,234.31550598,1.39999998,1.5,4.05999994
VB4287,234.31550598,236.31550598,1.39999998,1.5,4.07000017
VB4287,236.31550598,238.31550598,3.56999993,3.70000005,4.53999996
VB4287,238.31550598,240.31550598,-,-,3.30999994
VB4287,240.31550598,242.31550598,-,-,3.31999993
VB4287,242.31550598,244.31550598,-,-,3.3599999
VB4287,244.31550598,246.31550598,-,-,3.3900001
VB4287,246.31550598,248.31550598,-,-,3.4000001
VB4287,248.31550598,250.31550598,-,-,3.4000001
VB4287,250.31550598,252.31550598,-,-,3.42000008
VB4287,252.31550598,254.31550598,-,-,3.44000006
VB4287,254.31550598,256.31549072,-,-,3.44000006
VB4287,256.31549072,258.01550293,-,-,3.45000005
VB4288,153.84159851,233.94160461,-,-,3.08999991
VB4288,233.94160461,235.84159851,4.76000023,3.0999999,3.23000002
VB4288,235.84159851,237.84159851,1.47000003,1.20000005,-
